name,date,diameter_m,velocity_km_s,miss_distance_km,eccentricity,hazardous
(2023 AE2),2024-01-03,57.0216760901,11.2855377655,62234185.289850384,0.0,0
(2023 RM9),2024-01-03,177.0271912367,12.9687880565,63970228.434091866,0.0,0
(2023 WQ1),2024-01-03,271.6689340891,5.9212184218,33143995.883491017,0.0,0
(2023 XN7),2024-01-03,246.6266357777,13.9569847431,36285724.08862874,0.0,0
(2024 AS),2024-01-03,53.9560289198,7.3946974298,9293487.461979702,0.0,0
(2024 AA3),2024-01-03,41.8832118738,10.7365146763,5207160.128285559,0.0,0
(2024 AH3),2024-01-03,43.655601735,9.8836904204,2692217.677265319,0.0,0
(2024 AM3),2024-01-03,28.4472296503,9.6391324361,2680032.137885108,0.0,0
(2024 BB8),2024-01-03,316.2568775553,12.1295509121,69506951.39840552,0.0,0
668499 (2012 AB11),2024-01-03,204.1925904549,18.3613912419,42945020.56834914,0.0,0
676480 (2016 GZ215),2024-01-03,361.4431335863,3.725730427,47416427.48001454,0.0,0
304640 (2006 WW1),2024-01-06,871.043769791,23.0326073542,45511421.604933254,0.0,0
(2002 AO11),2024-01-06,145.8948556919,18.4313859429,60009526.330604255,0.0,0
(2013 AK20),2024-01-06,136.7854737026,9.2913935384,39773989.22219454,0.0,0
(2013 EU9),2024-01-06,276.719636665,6.4568616725,68747709.96981454,0.0,0
(2016 JX5),2024-01-06,24.7765012606,13.1693944854,32857831.15019332,0.0,0
(2017 PM26),2024-01-06,329.6400556414,18.612928453,32274818.88474144,0.0,0
(2017 YZ1),2024-01-06,487.5733713755,12.2272943072,72151871.79421762,0.0,1
(2021 EU4),2024-01-06,69.5088300671,13.557374479,43483069.129521914,0.0,0
(2021 MQ1),2024-01-06,145.8948556919,21.4639863349,20330046.370610718,0.0,0
591179 (2013 EU9),2024-01-06,276.719636665,6.4568624469,68747717.67410485,0.0,0
(2021 UO1),2024-01-06,14.7244804171,13.500108601,62463681.30280699,0.0,0
(2023 MB3),2024-01-06,5.9434686842,13.0170442397,54712164.16199074,0.0,0
(2024 AC),2024-01-06,47.2106498806,6.7879066336,2314264.029273852,0.0,0
(2023 YX1),2024-01-06,63.3928064522,14.312092751,3877187.626500982,0.0,0
(2024 AH1),2024-01-06,40.3682552065,9.6480231747,3441304.746515805,0.0,0
(2024 AV3),2024-01-06,41.4992242792,13.8228113761,4674438.11895243,0.0,0
(2024 BR),2024-01-06,275.4482254239,19.1440498079,30486662.87369185,0.0,0
(2007 SG11),2024-01-05,172.9975603978,5.8695959378,41770289.11229606,0.0,0
(2013 YD),2024-01-05,113.2504610618,26.4969302496,61854464.77133592,0.0,0
(2016 RW19),2024-01-05,380.2243960879,15.4546352377,49525995.352507204,0.0,0
(2017 YA8),2024-01-05,203.2544107219,20.6375976951,70732063.0488168,0.0,0
(2020 BT8),2024-01-05,174.5982871157,9.113812766,60145232.97622988,0.0,0
(2020 JB1),2024-01-05,31.1917670523,8.2878909741,29196034.17788345,0.0,0
(2021 QC3),2024-01-05,84.3412394123,18.1744842834,71698045.11347933,0.0,0
(2023 KF5),2024-01-05,30.4817557509,14.2499828727,55087443.40398086,0.0,0
(2023 OG5),2024-01-05,85.9092601232,15.3680274054,72038821.29720987,0.0,0
(2023 WX),2024-01-05,310.4845390059,16.5182401607,50637421.7920679,0.0,0
(2023 YX),2024-01-05,127.6556316195,6.8197105387,26354773.33952009,0.0,0
(2024 HY),2024-01-05,109.6579136575,7.1804901779,50459846.69689241,0.0,0
199003 (2005 WJ56),2024-01-07,1386.8834919048,15.2908365812,29849943.147815954,0.0,1
434188 (2003 AD23),2024-01-07,903.7326625794,33.8373421713,30564937.56560343,0.0,1
(2007 YZ),2024-01-07,741.3784854083,17.5905780442,28687888.89950263,0.0,0
(2010 JR34),2024-01-07,17.1411509231,10.5972841382,30452936.93148757,0.0,0
(2012 BV13),2024-01-07,207.0331923453,18.7982461783,71306312.87334982,0.0,0
(2019 PJ),2024-01-07,104.2413383852,14.3972065058,3719706.128269426,0.0,0
(2020 XA5),2024-01-07,82.4213984152,8.2454774127,21355494.62082355,0.0,0
(2021 LA),2024-01-07,101.400472517,24.9091695738,71686144.82731764,0.0,0
(2021 UH2),2024-01-07,55.980913209,4.9687502105,24614176.510914747,0.0,0
(2023 YV1),2024-01-07,109.1540813101,8.120493377,8449915.634659326,0.0,0
(2024 AM),2024-01-07,16.1450717269,9.023354683,1209360.071804936,0.0,0
(2024 AW),2024-01-07,46.5628954805,8.495992761,4280156.357123434,0.0,0
(2024 AL2),2024-01-07,19.8627775481,6.6495962837,1496555.69898459,0.0,0
(2025 AK2),2024-01-07,266.7104172244,18.3152326904,28265375.74571701,0.0,1
(2003 BN1),2024-01-13,448.7867008808,32.092216129,23819465.816301223,0.0,0
(2015 TF),2024-01-13,221.8400624229,16.7006802273,64038916.31106215,0.0,0
(2017 SM2),2024-01-13,20.6081961232,7.65680023,13571308.28219691,0.0,0
(2017 WP28),2024-01-13,389.080960011,43.9666290837,74052823.14814787,0.0,0
(2018 PW7),2024-01-13,78.7118244161,17.7057651733,37766467.69666857,0.0,0
(2020 AK3),2024-01-13,35.3215683399,17.5698785425,59593026.74191647,0.0,0
(2020 BM1),2024-01-13,45.0858206172,17.2233126305,35392214.0239375,0.0,0
(2020 YG1),2024-01-13,22.5964377109,17.0942400677,62113380.177814186,0.0,0
